id	date	home_team	home_team_score	visit_team	visit_team_score
400488979	2014-11-11	LA Clippers	109	Minnesota	107
400488995	2014-11-13	LA Clippers	111	Oklahoma City	103
400489028	2014-11-18	LA Clippers	102	Memphis	106
400489041	2014-11-20	Minnesota	98	LA Clippers	102
400489047	2014-11-21	Oklahoma City	105	LA Clippers	91
400489060	2014-11-23	LA Clippers	103	Sacramento	102
400489071	2014-11-24	LA Clippers	121	Chicago	82
400489113	2014-11-29	Sacramento	98	LA Clippers	104
400489122	2014-12-01	LA Clippers	100	Indiana	105
400489143	2014-12-04	Atlanta	107	LA Clippers	97
400489151	2014-12-05	Memphis	81	LA Clippers	101
400489164	2014-12-07	Cleveland	88	LA Clippers	82
400489216	2014-12-14	Washington	97	LA Clippers	113
400489236	2014-12-16	LA Clippers	115	San Antonio	92
400489253	2014-12-18	LA Clippers	108	New Orleans	95
400489276	2014-12-21	LA Clippers	112	Denver	91
400489279	2014-12-22	LA Clippers	120	Minnesota	116
400489299	2014-12-26	Portland	116	LA Clippers	112
400489320	2014-12-28	LA Clippers	98	Utah	90
400489332	2014-12-30	LA Clippers	88	Phoenix	107
400489345	2014-01-01	LA Clippers	112	Charlotte	85
400489359	2014-01-03	Dallas	112	LA Clippers	119
400489367	2014-01-04	San Antonio	116	LA Clippers	92
400489380	2014-01-06	LA Clippers	101	Orlando	81
